name,lat,lng,category,city,country,googleMapsLink,note
Nara 曼谷尚泰世界店,13.7466376,100.5397879,泰式料理,曼谷,TH,http://maps.google.com/?cid=1663723672953665972,
Nara Thai Cuisine Erawan,13.7440807,100.540718,泰式料理,曼谷,TH,http://maps.google.com/?cid=9753171774657769160,
MaeThum Padthai,13.7536694,100.502369,泰式料理,曼谷,TH,http://maps.google.com/?cid=1691525737419498012,
Here Duan (Banthat Thong),13.7372013,100.5217804,泰式料理,曼谷,TH,http://maps.google.com/?cid=524935244971962758,
SIAM ORIGINS,13.7442738,100.4937818,景點,曼谷,TH,http://maps.google.com/?cid=13124921234827083559,
The Deck by Arun Residence,13.7448231,100.491302,泰式料理,曼谷,TH,http://maps.google.com/?cid=5086173011053712312,
Khao Dong Moo Daeng,13.7555146,100.4865935,泰式料理,曼谷,TH,http://maps.google.com/?cid=10579959114145141253,
MORI CAFE,13.7535419,100.4297931,咖啡廳,曼谷,TH,http://maps.google.com/?cid=2578741946616494010,
SOMTAMนัว Ratchapruek,13.7522767,100.4420172,泰式料理,曼谷,TH,http://maps.google.com/?cid=6080410365447780458,
James Boulangerie,13.7530629,100.4354884,麵包坊,曼谷,TH,http://maps.google.com/?cid=15030142242214199788,
Meng Pu Dong Prannok-Kanchanaphisek,13.7518239,100.4390476,泰式料理,曼谷,TH,http://maps.google.com/?cid=7599316221729279104,
Rolling Roasters,13.7535158,100.4320313,咖啡廳,曼谷,TH,http://maps.google.com/?cid=9328930420397787268,
Mae Klong Hua Pla Mo Fai,13.7547371,100.4215626,泰式料理,曼谷,TH,http://maps.google.com/?cid=15004929441181549521,
The Pine Farm & Cafe,13.7608967,100.4149653,咖啡廳,曼谷,TH,http://maps.google.com/?cid=4184326045585276984,
Motsukane Matcha House,13.787335,100.394972,抹茶甜點,曼谷,TH,http://maps.google.com/?cid=3244224906881205406,
Suan Arhan Ruean Kaeo,13.7878406,100.3979269,泰式料理,曼谷,TH,http://maps.google.com/?cid=11969855230426585363,
Ruan Mae Loui Restaurant,13.7873835,100.4004267,泰式料理,曼谷,TH,http://maps.google.com/?cid=8035314400952815155,
Eat Kung Phao Khlong Mon,13.7900935,100.3941741,泰式料理,曼谷,TH,http://maps.google.com/?cid=1136472088952128234,
บ้านใจรัก,13.7830524,100.3968416,泰式料理,曼谷,TH,http://maps.google.com/?cid=7370473131352120815,
เฮงหอยทอด - ตลาดสดธนบุรี,13.7854443,100.3978831,泰式料理,曼谷,TH,http://maps.google.com/?cid=15717085596066816623,
廟口阿嬷臭豆腐,24.4902879,120.6817685,台式小吃,台中,TW,http://maps.google.com/?cid=10658193500251596852,
大安米粉湯,25.0234697,121.5432177,台式料理,台北,TW,http://maps.google.com/?cid=17443459486535444280,
西藏廚房,25.0251746,121.5425602,台式料理,台北,TW,http://maps.google.com/?cid=3019558900542943263,
巧巧香雞排（瑞安店）,25.0273123,121.5401895,台式料理,台北,TW,http://maps.google.com/?cid=4582894276193373689,
米食 미식,25.0269805,121.5396707,台式料理,台北,TW,http://maps.google.com/?cid=2161658765585374328,
上鼎豐小籠湯包,25.0263691,121.5392479,上海料理,台北,TW,http://maps.google.com/?cid=6956995549729684627,
The Quiet Light 默光咖啡（瑞安店）,25.0273704,121.54016,咖啡廳,台北,TW,http://maps.google.com/?cid=7006425892216860522,
宋朝中餐廳,25.0262264,121.5416538,台式料理,台北,TW,http://maps.google.com/?cid=7419153714153694080,
賈福廚房 JFULL,25.0283674,121.5419192,台式料理,台北,TW,http://maps.google.com/?cid=12731764505123689433,
